Date,URL,Registered Cameras,Connected Cameras
2025-09-12 19:40:56,https://connectshreveport.org,1018,2319
2025-09-12 19:41:27,https://connectrialto.org,Error,Error
2025-09-12 19:41:34,https://oakdaleconnect.org,14,259
2025-09-12 19:42:10,https://maderacountysafe.com,Error,Error
2025-09-12 19:42:18,https://connectdelraybeach.org,692,426
2025-09-12 19:42:25,https://connectsumner.org,458,122
2025-09-12 19:42:32,https://connectsaratogasprings.org,110,31
2025-09-12 19:42:40,https://connectsacramentocounty.org,65,329
2025-09-12 19:42:47,https://connectseminolecounty.org,65,1961
2025-09-12 19:42:54,https://connectnorthport.org,113,936
2025-09-12 19:43:02,https://connectspokanecounty.org,12,71
2025-09-12 19:43:09,https://connecttupelopolice.org,271,329
2025-09-12 19:43:16,https://connectmadison.org,33,170
2025-09-12 19:43:48,https://connectplaqueminesparish.org,Error,Error
2025-09-12 19:43:55,https://connectwinterpark.org,273,1320
2025-09-12 19:44:26,https://connecthawthorne.org,Error,Error
2025-09-12 19:44:34,https://cameraconnectdc.org,42805,902
2025-09-12 19:45:05,https://connectwintergarden.org,Error,Error
2025-09-12 19:45:35,https://connectlakecounty.org,Error,Error
2025-09-12 19:45:42,https://connectillinoisstatepolice.org,11,1555
2025-09-12 19:46:14,https://connectsouthfulton.org,Error,Error
2025-09-12 19:46:22,https://connecthillsboroughcounty.org,28,4400
2025-09-12 19:46:29,https://connectstatesboro.org,1,14632
2025-09-12 19:46:36,https://connectsalinas.org,18,246
2025-09-12 19:46:43,https://connectirving.org,43,1082
2025-09-12 19:46:50,https://connectnewhanoversheriff.org,2066,100
2025-09-12 19:47:22,https://connectmodesto.org,Error,Error
2025-09-12 19:47:29,https://connectokaloosacounty.org,749,514
2025-09-12 19:47:36,https://campbellpdconnect.org,161,138
2025-09-12 19:47:43,https://amarilloconnect.org,28,324
2025-09-12 19:47:50,https://connectdallas.org,3459,1384
2025-09-12 19:47:58,https://connectroyalbahamas.org,1843,1108
2025-09-12 19:48:29,https://connectfairfaxcounty.org/,Error,Error

